"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Synchronoss Tech","SNCR","5.61","5.68","5.40","+0.27","+5.06%","409.59K","15:56:00"
"Synergy Resources","SRCI","9.19","9.33","8.89","+0.24","+2.68%","205.39K","15/08"
"Tailored Brands","TLRD","21.38","21.45","20.31","+0.93","+4.55%","1.37M","16:00:00"
"Take-Two","TTWO","125.94","127.33","124.90","-0.01","-0.01%","1.16M","16:00:02"
"Team","TISI","24.20","24.50","23.50","+0.75","+3.20%","640.18K","16:00:00"
"Tennant","TNC","76.00","77.55","75.80","+0.20","+0.26%","71.59K","16:00:00"
"Tetra Tech","TTEK","69.60","70.10","69.15","+0.25","+0.36%","263.51K","16:00:02"
"Tetra Technologies","TTI","4.80","4.90","4.77","+0.02","+0.42%","348.09K","16:00:00"
"Texas Capital","TCBI","91.90","92.30","90.85","+1.45","+1.60%","196.76K","16:00:01"
"The Andersons","ANDE","40.00","40.20","39.45","+0.60","+1.52%","205.41K","16:00:02"
"The Childrens Place","PLCE","130.80","131.03","128.26","+2.40","+1.87%","354.58K","16:00:02"
"The Ensign","ENSG","37.23","37.44","36.69","+0.72","+1.97%","175.65K","16:00:01"
"The Medicines","MDCO","39.53","40.00","39.20","-0.25","-0.63%","427.57K","16:00:01"
"The Navigators","NAVG","65.55","66.08","65.00","+0.55","+0.85%","64.17K","16:00:02"
"The Providence Service","PRSC","65.61","66.12","65.07","+0.17","+0.26%","44.88K","16:00:02"
"Tidewater","TDW","29.860","30.620","29.580","-0.360","-1.19%","171.66K","16:00:00"
"Tile Shop","TTS","7.850","8.166","7.800","-0.250","-3.09%","369.07K","16:00:02"
"Timkensteel Corp","TMST","13.21","13.36","13.07","+0.28","+2.21%","259.34K","16:00:00"
"Titan","TWI","7.05","7.28","6.95","+0.12","+1.80%","405.08K","16:00:00"
"Tivity Health","TVTY","32.85","33.20","32.80","-0.15","-0.45%","324.55K","16:00:02"
"TiVo","TIVO","12.75","12.95","12.40","+0.40","+3.24%","933.02K","16:00:02"
"Tompkins","TMP","87.42","87.42","86.34","+1.06","+1.23%","4.66K","15/08"
