"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"Korn/Ferry","KFY","440.21K","3.71B","1.82B","25.52","1.28"
"Kraton","KRA","187.16K","1.54B","2.46B","40.01","1.36"
"Kulicke&Soffa","KLIC","607.87K","1.94B","895.25M","13.15","1.26"
"La-Z-Boy","LZB","373.88K","1.44B","1.58B","17.3","0.94"
"Lannett Com","LCI","705.51K","499.89M","652.78M","7.49","2.43"
"LCI Industries","LCII","219.88K","2.40B","2.30B","19.94","1.06"
"Legacy Texas Financial Grp","LTXB","221.91K","1.88B","211.58M","18.03","1.38"
"Lendingtree","TREE","239.97K","2.99B","666.24M","63.13","1.78"
"Lexington","LXP","1.16M","2.08B","398.18M","92.02","0.86"
"LGI Homes","LGIH","426.07K","1.37B","1.37B","11.44","0.09"
"LHC Group","LHCG","282.80K","2.83B","1.12B","48.44","0.48"
"Ligand","LGND","287.87K","4.72B","168.00M","107.33","0.95"
"Lindsay","LNN","88.94K","996.88M","556.38M","40.93","0.31"
"Liquidity Services","LQDT","159.17K","216.69M","248.13M","","0.63"
"Lithia Motors","LAD","268.63K","2.42B","10.51B","8.62","1.6"
"Littelfuse","LFUS","168.50K","5.74B","1.35B","32.67","1"
"LivePerson","LPSN","415.81K","1.36B","226.19M","","1"
"LogMeIn","LOGM","596.84K","5.73B","1.08B","94.4","1.24"
"Lsb Industries","LXU","164.81K","203.16M","404.61M","","4.6"
"LSC Communications","LKSD","392.05K","463.01M","3.71B","",""
"LTC Properties","LTC","271.18K","1.64B","167.26M","18.94","0.13"
"Lumber Liquidators","LL","955.78K","733.82M","1.04B","","1.5"
"Lumentum Holdings Inc","LITE","2.37M","3.73B","1.17B","15.97",""
"Luminex","LMNX","269.76K","1.49B","311.46M","28.83","0.3"
"Lydall","LDL","85.81K","774.03M","724.61M","14.92","1.46"
"M/I Homes","MHO","203.79K","797.41M","1.99B","11.06","1.22"
"Magellan Health","MGLN","154.24K","2.34B","6.34B","22.84","0.52"
"Maiden Holdings","MHLD","648.91K","644.17M","3.65B","","1.18"
"ManTech","MANT","203.54K","2.38B","1.77B","34.51","0.83"
"Marcus","MCS","69.65K","925.09M","632.96M","21.28","0.48"
"MarineMax","HZO","304.51K","555.42M","1.09B","17.52","1.2"
"Marriot Vacations Worldwide","VAC","451.74K","3.16B","2.04B","20.15","1.38"
"Marten Transport","MRTN","296.41K","1.21B","737.43M","31.9","1.34"
"Masimo","MASI","547.74K","5.23B","824.75M","26.88","0.9"
"Materion","MTRN","92.12K","1.12B","1.20B","31.3","0.9"
"Matrix","MTRX","209.34K","531.09M","1.09B","161.22","0.92"
"Matson","MATX","208.60K","1.56B","2.08B","18.93","1.35"
"Matthews","MATW","171.55K","1.91B","1.57B","24.25","1.15"
"MDC","MDC","540.57K","1.83B","3.20B","11.03","1.51"
"Medidata","MDSO","547.34K","5.17B","567.91M","112.76","1.48"
"MEDIFAST","MED","191.71K","2.03B","329.54M","59.05","0.26"
"Mercury","MRCY","375.81K","1.98B","455.93M","50.89","0.5"
"Meridian","VIVO","311.16K","669.04M","208.57M","39.82","0.85"
"Merit","MMSI","302.17K","2.86B","759.82M","143.33","1.33"
"Meritage","MTH","336.69K","1.91B","3.31B","10.5","1.18"
"Methode Electronics","MEI","245.64K","1.45B","908.30M","13.2","0.77"
"MicroStrategy","MSTR","89.70K","1.54B","506.94M","32.2","0.67"
"MiMedx","MDXG","3.35M","369.75M","160.98M","11.22","1.42"
"MKS Instruments","MKSI","538.23K","5.52B","2.03B","14.3","0.99"
"Mobile Mini","MINI","211.22K","2.11B","550.68M","40.34","1.97"
"Momenta","MNTA","902.34K","2.22B","117.12M","","1.92"
"Monarch","MCRI","74.78K","853.86M","233.59M","31.12","1.11"
"Monotype","TYPE","284.48K","858.23M","292.48M","","0.94"
"Monro Muffler Brake","MNRO","301.77K","2.22B","1.13B","32.85","0.79"
"Moog","MOGa","117.02K","2.81B","2.59B","24.54","1.74"
"Motorcar Parts","MPAA","192.06K","375.78M","428.07M","18.53","1.6"
"Movado","MOV","191.38K","807.86M","595.83M","27.11","-0.23"
"MTS Systems","MTSC","74.21K","950.28M","780.73M","32.01","0.95"
"Mueller Industries","MLI","216.35K","1.69B","2.33B","19.05","1.38"
"Multi-Color","LABL","121.35K","1.34B","1.30B","21.72","0.8"
"Myers Industries","MYE","229.31K","626.04M","579.05M","39.16","1.48"
"MYR Group","MYRG","97.20K","632.49M","1.45B","34.95","0.53"
"Nanometrics","NANO","200.84K","891.12M","281.61M","21.83","1.78"
"National Presto Industries","NPK","56.77K","837.24M","337.60M","18.93","0.31"
"Natus","BABY","536.66K","1.06B","504.92M","","0.51"
"Nautilus","NLS","261.50K","441.01M","407.74M","20.21","1.35"
"Navigant","NCI","281.29K","953.46M","1.04B","22.14","0.82"
"NBT Bancorp","NBTB","134.19K","1.70B","223.74M","18.73","0.87"
"Neenah Paper","NP","72.01K","1.46B","1.00B","20.4","1.1"
"Nektar","NKTR","2.57M","8.29B","321.01M","","2"
"Neogen","NEOG","174.21K","4.33B","391.82M","67.21","1.33"
"NETGEAR","NTGR","573.88K","2.45B","1.43B","43.81","2.11"
"Newpark Resources","NR","606.94K","866.31M","816.36M","53.53","1.41"
"NIC","EGOV","895.55K","1.06B","423.22M","20.12","0.46"
"Northern Oil&Gas","NOG","157.68K","862.18M","210.11M","","1.86"
"Northfield Bancorp","NFBK","106.51K","827.38M","74.14M","22","0.38"
"Northwest Bancshares","NWBI","549.16K","1.81B","225.79M","18.39","0.67"
"Northwest Natural Gas","NWN","136.51K","1.83B","729.56M","","0.31"
"NutriSystem","NTRI","830.24K","1.16B","695.21M","22.69","1.29"
"OFG Bancorp","OFG","281.43K","655.13M","201.67M","16.81","1.79"
"Old National Bancorp","ONB","756.01K","2.86B","370.06M","24.82","0.88"
"Ollies Bargain Outlet Holdings Inc","OLLI","535.95K","4.64B","1.13B","35.08",""
"Olympic Steel","ZEUS","136.53K","246.81M","1.37B","10.31","1.76"
"Omnicell","OMCL","289.31K","2.12B","748.22M","107.45","0.85"
"Onespan","OSPN","194.71K","812.29M","196.76M","115.86","1.51"
"Opus Bank","OPB","204.42K","1.05B","150.73M","","0.93"
"Orion Group","ORN","162.42K","252.24M","576.63M","1612.96","1.34"
"Oritani","ORIT","201.86K","757.52M","77.17M","17.19","0.41"
