"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Oritani","ORIT","Strong Buy","Neutral","Neutral","Neutral"
"OSI Systems","OSIS","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Oxford Industries","OXM","Neutral","Sell","Strong Buy","Strong Buy"
"Papa John's","PZZA","Neutral","Buy","Strong Sell","Strong Sell"
"Park Electrochemical","PKE","Strong Buy","Neutral","Neutral","Strong Buy"
"Patrick","PATK","Neutral","Strong Buy","Strong Buy","Strong Buy"
"PDC Energy","PDCE","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Pennsylvania RE","PEI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Perficient","PRFT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Perry Ellis","PERY","Buy","Strong Sell","Buy","Strong Buy"
"PetMed Express","PETS","Strong Sell","Strong Sell","Strong Sell","Neutral"
"PGT Innovations","PGTI","Sell","Sell","Strong Buy","Strong Buy"
