S&P Small-Cap 600 ETF (VIOO)
Holding details,06/30/2018

Equity holdings
,SEDOL,Ticker,Holding name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type,
,="B15CJ33","KALU      ","KAISER ALUMINUM","38,845","$4,044,153.00","0.21500","Aluminum","US  ",-,
,="2350383","FELE      ","FRANKLIN ELEC CO","89,490","$4,035,999.00","0.21500","Industrial Machinery","US  ",-,
,="B9BP4R1","BCC       ","BOISE CASCADE CO","90,236","$4,033,549.00","0.21500","Forest Products","US  ",-,
,="B8L2DV2","BCOR      ","BLUCORA INC","108,851","$4,027,487.00","0.21500","Internet Software & Services","US  ",-,
,="2475060","NSIT      ","INSIGHT ENTERPRI","82,122","$4,018,229.00","0.21400","Technology Distributors","US  ",-,
,="2165811","CBM       ","CAMBREX CORP","76,330","$3,992,059.00","0.21300","Life Sciences Tools & Services","US  ",-,
,="2934033","MED       ","MEDIFAST INC","24,674","$3,951,788.00","0.21100","Personal Products","US  ",-,
,="2609717","MLI       ","MUELLER INDS","133,410","$3,936,929.00","0.21000","Industrial Machinery","US  ",-,
,="2036047","FIX       ","COMFORT SYSTEMS","85,874","$3,933,029.00","0.21000","Construction & Engineering","US  ",-,
,="2498788","LTC       ","LTC PROPERTIES","91,987","$3,931,524.00","0.20900","Health Care REITs","US  ",-,
,="2171603","PFS       ","PROVIDENT FINANC","142,690","$3,928,256.00","0.20900","Thrifts & Mortgage Finance","US  ",-,
,="2008400","EBIX      ","EBIX INC","51,095","$3,895,994.00","0.20800","Application Software","US  ",-,
,="2601326","MTH       ","MERITAGE HOMES C","88,531","$3,890,937.00","0.20700","Homebuilding","US  ",-,
,="2407632","HUBG      ","HUB GROUP-A","78,068","$3,887,786.00","0.20700","Air Freight & Logistics","US  ",-,
,="B9L5200","ENTA      ","ENANTA PHARMACEU","33,483","$3,880,680.00","0.20700","Biotechnology","US  ",-,
,="BV2CL41","LTXB      ","LEGACYTEXAS FINA","98,831","$3,856,386.00","0.20500","Regional Banks","US  ",-,
,="2004185","ANF       ","ABERCROMBIE & FI","157,295","$3,850,582.00","0.20500","Apparel Retail","US  ",-,
,="2626459","NBTB      ","NBT BANCORP INC","100,693","$3,841,438.00","0.20500","Regional Banks","US  ",-,
,="BD8FFY6","TIVO      ","TIVO CORP","285,122","$3,834,891.00","0.20400","Systems Software","US  ",-,
,="2498001","KLIC      ","KULICKE & SOFFA","160,188","$3,815,678.00","0.20300","Semiconductor Equipment","US  ",-,
,="2923804","UVV       ","UNIVERSAL CORP","57,644","$3,807,386.00","0.20300","Tobacco","US  ",-,
,="2635659","TTMI      ","TTM TECHNOLOGIES","215,512","$3,799,477.00","0.20200","Electronic Manufacturing Services","US  ",-,
,="B8GNC91","MATX      ","MATSON INC","98,894","$3,795,552.00","0.20200","Marine","US  ",-,
,="2062161","ADC       ","AGREE REALTY","71,844","$3,791,208.00","0.20200","Retail REITs","US  ",-,
,="2239266","CUB       ","CUBIC CORP","58,057","$3,727,259.00","0.19900","Aerospace & Defense","US  ",-,
,="B3NTLD4","AAT       ","AMERICAN ASSETS","96,837","$3,707,889.00","0.19800","Diversified REITs","US  ",-,
,="B018VB0","MNTA      ","MOMENTA PHARMACE","179,921","$3,679,384.00","0.19600","Biotechnology","US  ",-,
,="B4TZV44","WD        ","WALKER & DUNLOP","65,563","$3,648,581.00","0.19400","Thrifts & Mortgage Finance","US  ",-,
,="2889768","DDD       ","3D SYSTEMS CORP","263,712","$3,641,863.00","0.19400","Technology Hardware, Storage & Periphera","US  ",-,
,="B4ZG8D9","GOV       ","GOVERNMENT PROPE","229,579","$3,638,827.00","0.19400","Office REITs","US  ",-,
,="BFG3KF2","NE        ","NOBLE CORP PLC","573,644","$3,631,167.00","0.19300","Oil & Gas Drilling","US  ",-,
,="2313739","IPCC      ","INFINITY PROPERT","25,490","$3,628,502.00","0.19300","Property & Casualty Insurance","US  ",-,
,="2351546","FCF       ","FIRST COMMON FIN","233,283","$3,618,219.00","0.19300","Regional Banks","US  ",-,
,="BWWCK85","NSA       ","NATIONAL STORAGE","117,299","$3,615,155.00","0.19300","Specialized REITs","US  ",-,
,="2382416","AXL       ","AMER AXLE & MFG","231,170","$3,597,005.00","0.19200","Auto Parts & Equipment","US  ",-,
,="2845005","SCL       ","STEPAN CO","46,087","$3,595,247.00","0.19200","Specialty Chemicals","US  ",-,
,="BYRGSX7","AROC      ","ARCHROCK INC","299,500","$3,594,000.00","0.19100","Oil & Gas Equipment & Services","US  ",-,
,="2859200","CVGW      ","CALAVO GROWERS I","36,675","$3,526,301.00","0.18800","Packaged Foods & Meats","US  ",-,
,="B01W5C1","OCLR      ","OCLARO INC","394,863","$3,526,127.00","0.18800","Communications Equipment","US  ",-,
,="BYYXHN4","WING      ","WINGSTOP INC","67,581","$3,522,322.00","0.18800","Restaurants","US  ",-,
,="B1P5YY8","AVAV      ","AEROVIRONMENT IN","49,290","$3,520,785.00","0.18800","Aerospace & Defense","US  ",-,
,="BZ16HK0","FCPT      ","FOUR CORNERS PRO","142,383","$3,506,893.00","0.18700","Specialized REITs","US  ",-,
,="BD5JMM8","WPG       ","WASHINGTON PRIME","431,998","$3,503,504.00","0.18700","Retail REITs","US  ",-,
,="2781109","STBA      ","S & T BANCORP","80,993","$3,502,137.00","0.18700","Regional Banks","US  ",-,
,="2787185","SPXC      ","SPX CORP","99,782","$3,497,359.00","0.18600","Industrial Machinery","US  ",-,
,="BD8PMN4","CJ        ","C&J ENERGY SERVI","147,838","$3,488,977.00","0.18600","Oil & Gas Equipment & Services","US  ",-,
,="B00SCY1","CORT      ","CORCEPT THERA","221,724","$3,485,501.00","0.18600","Pharmaceuticals","US  ",-,
,="B3M7R64","INN       ","SUMMIT HOTEL PRO","243,448","$3,483,741.00","0.18600","Hotel & Resort REITs","US  ",-,
,="2950374","WABC      ","WESTAMERICA BANC","61,645","$3,483,559.00","0.18600","Regional Banks","US  ",-,
,="2001119","AIR       ","AAR CORP","74,788","$3,476,894.00","0.18500","Aerospace & Defense","US  ",-,
,="2387530","GBX       ","GREENBRIER COS","65,890","$3,475,698.00","0.18500","Construction Machinery & Heavy Trucks","US  ",-,
,="2606570","BHLB      ","BERKSHIRE HILLS","85,300","$3,463,180.00","0.18400","Regional Banks","US  ",-,
,="2967675","BRKL      ","BROOKLINE BANCRP","185,979","$3,459,209.00","0.18400","Regional Banks","US  ",-,
,="2321583","ESE       ","ESCO TECH INC","59,924","$3,457,615.00","0.18400","Industrial Machinery","US  ",-,
,="2767217","PPBI      ","PACIFIC PREMIER","90,596","$3,456,237.00","0.18400","Regional Banks","US  ",-,
,="B0LLFT5","GME       ","GAMESTOP CORP-A","236,978","$3,452,769.00","0.18400","Computer & Electronics Retail","US  ",-,
,="BH65L93","SBCF      ","SEACOAST BANK/FL","108,989","$3,441,873.00","0.18300","Regional Banks","US  ",-,
,="BWX4MD9","CAL       ","CALERES INC","100,078","$3,441,682.00","0.18300","Apparel Retail","US  ",-,
,="2583297","MEI       ","METHODE ELEC","85,401","$3,441,660.00","0.18300","Electronic Manufacturing Services","US  ",-,
,="2156503","WDR       ","WADDELL & REED-A","190,451","$3,422,404.00","0.18200","Asset Management & Custody Banks","US  ",-,
,="B547X79","KRA       ","KRATON CORP","74,051","$3,416,713.00","0.18200","Specialty Chemicals","US  ",-,
