Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NMIH,"Nmi Holdings Cmn A",19.5,0.85,+4.56%,19.85,18.85,838300,07/19/18
NP,"Neenah Paper",88.35,1.35,+1.55%,88.45,86.5,43700,07/19/18
NPK,"National Presto Industries",120,0,unch,120.6,119.8,23200,07/19/18
NPO,"Enpro Industries",73.29,0.67,+0.92%,73.39,71.52,112400,07/19/18
NR,"Newpark Resources",9.85,0.25,+2.60%,9.9,9.55,663300,07/19/18
NSA,"National Storage Affiliates Tru",30.05,0.35,+1.18%,30.17,29.68,569900,07/19/18
NSIT,"Insight Enterpr",50.11,0.58,+1.17%,50.34,49.41,238400,07/19/18
NSP,"Insperity Inc",98.1,-0.9,-0.91%,98.95,97.7,190300,07/19/18
NTGR,"Netgear Inc",76.05,-1.7,-2.19%,78.3,75.7,439200,07/19/18
NTRI,"Nutrisystem Inc",40.3,1.4,+3.60%,40.4,38.7,558500,07/19/18
NWBI,"Northwest Bancshares",17.79,0.13,+0.74%,17.82,17.56,416300,07/19/18
NWN,"Northwest Natural Gas Company",64.2,0.85,+1.34%,64.6,62.85,112800,07/19/18
NX,"Quanex Building Products Corp",18.45,0.2,+1.10%,18.75,18.25,183900,07/19/18
NYMT,"New York Mtge Trust",6.11,0,unch,6.14,6.09,421100,07/19/18
OCLR,"Oclaro Inc",9.12,0.01,+0.11%,9.2,9.09,1401300,07/19/18
ODP,"Office Depot",2.75,-0.01,-0.36%,2.79,2.69,3018900,07/19/18
OFG,"Oriental Financial Group",14.6,-0.55,-3.63%,15.25,14.4,350400,07/19/18
OFIX,"Orthofix Intl Nv",59.19,0.81,+1.39%,59.34,58.32,145600,07/19/18
OIS,"Oil States International",33.25,0,unch,33.7,32.95,301700,07/19/18
OMCL,"Omnicell Inc",54.6,0.35,+0.65%,55,53.95,199400,07/19/18
OMI,"Owens & Minor",17.48,0.23,+1.33%,17.65,16.87,526300,07/19/18
ONB,"Old National Bncp",19.05,0.05,+0.26%,19.13,18.7,764100,07/19/18
OPB,"Opus Bank",29.8,0.3,+1.02%,29.9,29.35,79400,07/19/18
ORIT,"Oritani Financial",16.35,0.1,+0.62%,16.4,16.23,144900,07/19/18
ORN,"Orion Group Holdings Inc",9.28,0.07,+0.76%,9.38,9.04,270300,07/19/18
OSIS,"O S I Systems Inc",77.62,-0.88,-1.12%,78.65,77.14,152300,07/19/18
OSPN,"Onespan Inc.",20.15,0.05,+0.25%,20.35,19.95,113900,07/19/18
OSUR,"Orasure Tech Inc",16.91,0.22,+1.32%,16.95,16.55,373200,07/19/18
OXM,"Oxford Industries",92.73,1.52,+1.67%,92.81,90.59,124600,07/19/18
PAHC,"Phibro Anl Htlh A",47.1,-0.85,-1.77%,47.75,47,144900,07/19/18
PARR,"Par Petroleum Corp",17.42,0,unch,17.54,17.29,105100,07/19/18
PATK,"Patrick Inds Inc",61.25,0.35,+0.57%,61.7,60.1,166300,07/19/18
PDCE,"Pdc Energy Inc",60.77,-0.22,-0.36%,61.46,60.56,713200,07/19/18
PDFS,"Pdf Solutions Inc",11.7,0,unch,12.01,11.59,250500,07/19/18
PEI,"Pennsylvania Real Estate Investment",10.85,0.22,+2.07%,10.97,10.49,1043300,07/19/18
PENN,"Penn Natl Gaming Inc",35.41,-0.3,-0.84%,35.54,34.96,801600,07/19/18
PERY,"Perry Ellis Int",28.3,0.01,+0.04%,28.44,28.14,90700,07/19/18
PES,"Pioneer Energy Services Corp",5.2,-0.05,-0.95%,5.45,5.15,542800,07/19/18
PETS,"Petmed Express Inc",41.37,0.62,+1.52%,41.76,40.29,701000,07/19/18
PFS,"Provident Financial Services",27.66,0.25,+0.91%,27.68,27.25,109100,07/19/18
PGNX,"Progenics Pharmaceut",8.39,0.1,+1.21%,8.39,8.19,700600,07/19/18
PGTI,"Pgt Inc",21.55,0.05,+0.23%,21.7,21.35,258800,07/19/18
PJC,"Piper Jaffray Companies",76.3,-0.6,-0.78%,76.68,75.7,43000,07/19/18
PKE,"Park Electrochemical Corp",23.56,0.12,+0.51%,23.62,23.32,65900,07/19/18
PLAB,"Photronics Inc",8.8,-0.05,-0.56%,8.9,8.75,327100,07/19/18
PLAY,"Dave & Buster's Ente",49.51,0.43,+0.88%,49.54,47.9,662600,07/19/18
PLCE,"Children's Place Inc",128.05,4.2,+3.39%,129.75,123,738700,07/19/18
PLUS,"Eplus Inc",101.45,0.4,+0.40%,101.55,100.1,44600,07/19/18
PLXS,"Plexus Cp",61.79,0.91,+1.49%,62.28,58.8,330600,07/19/18
PMT,"Pennymac Mortgage Investment Trust",18.67,0.11,+0.59%,18.75,18.53,661400,07/19/18
POWI,"Power Integratn",77.5,-0.4,-0.51%,78,76.9,93000,07/19/18
POWL,"Powell Inds Inc",35.08,-0.22,-0.62%,35.57,34.99,21400,07/19/18
PPBI,"Pacific Premier Bncp",37.3,0.1,+0.27%,37.69,36.95,313800,07/19/18
PRA,"Pro-Assurance Corp",38.55,0.25,+0.65%,38.63,37.9,366200,07/19/18
PRAA,"Pra Group Inc",42.95,0.4,+0.94%,43.05,42.35,163300,07/19/18
PRFT,"Perficient Inc",27.12,-0.04,-0.15%,27.24,26.99,73700,07/19/18
PRGS,"Progress Software",39.4,-0.71,-1.77%,40.21,39.15,224600,07/19/18
PRLB,"Proto Labs Inc",134.35,2,+1.51%,134.45,131.66,89100,07/19/18
PRSC,"Providence Svc Cp",72.03,0.11,+0.15%,72.22,71.57,42100,07/19/18
PSB,"Business Parks",128.71,1.01,+0.79%,129.73,127.44,92000,07/19/18
PUMP,"Propetro Holding Corp",15.45,-0.05,-0.32%,15.64,15.21,865000,07/19/18
PVAC,"Penn Va Corp",86.49,0.94,+1.10%,87,85.35,167500,07/19/18
QHC,"Quorum Health Corp",4.44,0.25,+5.97%,4.48,4.16,164800,07/19/18
QLYS,"Qualys Inc",96.35,0.4,+0.42%,97.05,95.54,203000,07/19/18
