Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
GIFI,"Gulf Island Fab",145136000,0,-2.42,-44770000,1.01,0.01,0.11%
GIII,"G-III Apparel Gp I",2256903000,23.06,2,62120000,0.28,0,0.00%
GLT,Glatfelter,704858000,17.63,0.93,7910000,1.11,0.52,3.17%
GME,"Gamestop Corp",1560648000,4.92,3.09,34700000,1.26,1.52,9.99%
GNBC,"Green Bancorp",902902000,17.85,1.37,34140000,2.14,0.4,1.64%
GNL,"Global Net Lease Inc",1461973000,10.57,0.23,23570000,0.52,2.13,9.64%
GOV,"Government Properties Income Trust",1592670000,8.08,0.3,12090000,1.19,1.72,10.70%
GPI,"Group 1 Automotive",1516545000,8.98,8.49,213440000,1.78,1.04,1.36%
GPRE,"Green Plains Inc",737454000,0,-0.96,61060000,1.04,0.48,2.77%
GTLS,"Chart Industries In",2374600000,49.83,1.54,28000000,1.06,0,0.00%
GTY,"Getty Realty Corp",1163636000,17.06,1.16,47190000,0.51,1.28,4.41%
GWB,"Great Western Bancorp Inc",2471864000,14.89,2.83,144790000,1.53,1,2.37%
HA,"Hawaiian Hldgs Inc",2131080000,7.56,5.55,364040000,1.37,0.48,1.14%
HAFC,"Hanmi Financial Cp",827125000,13.54,1.88,54660000,0.78,0.96,3.77%
HAYN,"Haynes Intl Inc",497648000,0,-0.66,-10190000,1.51,0.88,2.21%
HCI,"Homeowners Choice",375376000,0,-1.03,-6890000,1.64,1.5,3.75%
HF,"HFF Inc",1732234000,18.54,2.41,94960000,0.99,0,0.00%
HFWA,"Heritage Financial",1301511000,23.1,1.53,41790000,0.5,0.6,1.70%
HI,"Hillenbrand Inc",3230774000,21.87,2.38,126200000,1.26,0.83,1.59%
HIBB,"Hibbett Sports Inc",459538000,13.34,1.78,35030000,0.79,0,0.00%
HLIT,"Harmonic Inc",445205000,0,-0.16,-82960000,0.7,0,0.00%
HLX,"Helix Energy Solutions Group",1396677000,84.91,0.11,30050000,2.54,0,0.00%
HMN,"Horace Mann Educators Corp",1837248000,23.85,1.85,169460000,0.78,1.14,2.56%
HMST,"Homestreet Inc",812098000,17.49,1.71,68950000,0.39,0,0.00%
HMSY,"Hms Hldgs Cp",2554711000,54.62,0.42,40050000,0.92,0,0.00%
HOPE,"Hope Bancorp Inc",2234356000,12.46,1.39,139450000,1.39,0.56,3.23%
HPR,"Highpoint Resources Corp.",1074891000,0,-0.29,-138230000,3.32,0,0.00%
HQY,Healthequity,5117884000,108.04,0.76,47360000,1.37,0,0.00%
HSC,"Harsco Corp",1992952000,25.31,0.98,7820000,2.76,0,0.00%
HSII,"Heidrick & Struggl",803904000,25.76,1.7,-48640000,1.67,0.52,1.19%
HSKA,"Heska Corp",734250000,62.98,1.75,9950000,0.76,0,0.00%
HSTM,"Healthstream Inc",970893000,87.53,0.34,10000000,0.56,0,0.00%
HT,"Hersha Hospitality Trust",847064000,10.76,-0.43,99870000,1.33,1.12,5.18%
HTLD,"Heartland Express",1614922000,35.91,0.54,75170000,0.64,0.08,0.41%
HUBG,"Hub Group Inc A",1784322000,22.37,2.34,135150000,1.45,0,0.00%
HVT,"Haverty Furniture Companies",450855000,17.3,1.26,21080000,0.83,0.72,3.30%
HWKN,"Hawkins Inc",419832000,23.16,1.71,-9180000,0.71,0.88,2.22%
HZO,"Marinemax Inc",516859000,12.92,1.49,23550000,1.12,0,0.00%
IBP,"Installed Building Products I",1604208000,33.18,1.59,41140000,0.86,0,0.00%
IIIN,"Insteel Industries",804794000,31.06,1.38,22550000,2.22,0.12,0.28%
IIVI,"I I V I Inc",2829935000,29.28,1.57,95270000,0.02,0,0.00%
INDB,"Independent Bk Corp",2413881000,22.56,3.9,87200000,0.95,1.52,1.73%
INGN,"Inogen Inc",4848372000,129.22,1.5,21000000,1.1,0,0.00%
INN,"Summit Hotel Properties",1408753000,9.88,0.53,99210000,1.21,0.72,5.36%
INTL,"Intl Fcstone Inc",1037213000,29.01,1.32,6400000,1.71,0,0.00%
INVA,"Innoviva Inc",1414280000,9.1,1.53,134140000,2.25,0,0.00%
IOSP,"Innospec Inc",1829058000,16.71,4.65,61800000,1.06,1.76,2.35%
IPAR,"Inter Parfums Inc",1932444000,39.74,1.42,41590000,1.54,0.84,1.36%
IPHS,"Innophos Hldngs Inc",863821000,17.89,2.46,22450000,0.74,1.92,4.36%
IRBT,"Irobot Corp",2370965000,40.01,2.17,50960000,1.32,0,0.00%
IRDM,"Iridium Comm Inc",2198388000,50.88,0.4,233860000,1.92,0,0.00%
IRT,"Independence Realty Trust Inc",880106000,13.66,0.18,30210000,0.84,0.72,7.12%
ITG,"Investment Technology Group",761079000,40.86,0.43,-39440000,1.45,0.28,1.22%
ITGR,"Integer Holdings Corp",2263107000,20.55,3.45,66680000,0.86,0,0.00%
ITRI,"Itron Inc",2422845000,26.05,2.62,57300000,0.97,0,0.00%
IVC,"Invacare Corp",555430000,0,-1.81,-76540000,2.38,0.05,0.30%
IVR,"Invesco Mortgage Capital Inc",1786240000,9.12,1.77,348610000,0.65,1.68,10.41%
JBSS,"John B Sanfilippo",874745000,26.32,2.93,36130000,1.08,0.55,0.71%
JBT,"John Bean Technologies Corp",3417540000,31.2,3.5,80500000,1.25,0.4,0.37%
JCP,"J.C. Penney Company Inc",760582000,0,-0.07,-116000000,0.87,0,0.00%
JJSF,"J J Snack Foods",2675088000,33.44,4.31,79170000,0.58,1.8,1.25%
JRVR,"James River Gp HD",1196302000,24.64,1.62,43570000,0.48,1.2,3.01%
KALU,"Kaiser Aluminum",1843934000,20.58,5.4,45400000,0.65,2.2,1.98%
KAMN,"Kaman Corp",1818151000,24.92,2.58,49830000,0.78,0.8,1.22%
KELYA,"Kelly Svcs Cl A",935374000,10.92,2.17,71600000,0.92,0.3,1.23%
KEM,"Kemet Corp",1366315000,13.85,1.81,254530000,3.78,0,0.00%
KFY,"Korn/Ferry International",3765928000,24.71,2.72,133780000,1.27,0.4,0.60%
KIRK,"Kirkland's Inc",177454000,24.8,0.45,5300000,1.18,0,0.00%
KLIC,"Kulicke and Soffa",1800065000,10.99,2.45,112010000,1.22,0.48,1.78%
