Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
NPK,"National Presto Industries",134.5,"56% Buy",60.39%,24.49%,32985,88.8,140.32
NPO,"Enpro Industries",75.34,"32% Buy",53.83%,34.07%,173890,63.73,94.79
NR,"Newpark Resources",11.2,"96% Buy",59.67%,39.20%,493410,7.4,11.65
NSA,"National Storage Affiliates Tru",28.37,"24% Sell",45.50%,18.62%,336170,21.93,32.28
NSIT,"Insight Enterpr",55.57,"96% Buy",65.55%,27.31%,257950,32.1,56.86
NSP,"Insperity Inc",117,"96% Buy",68.66%,22.25%,285710,39.25,118.2
NTGR,"Netgear Inc",70.15,"48% Buy",53.28%,25.88%,377065,44.2,78.3
NTRI,"Nutrisystem Inc",35.95,"56% Sell",39.37%,50.09%,610260,26.06,60.8
NWBI,"Northwest Bancshares",18.19,"32% Buy",54.31%,10.40%,312235,15.06,18.56
NWN,"Northwest Natural Gas Company",64.4,"8% Buy",53.41%,15.81%,115705,51.5,69.5
NX,"Quanex Building Products Corp",16.55,"88% Sell",42.56%,19.62%,113395,16,24.6
NYMT,"New York Mtge Trust",6.37,"72% Buy",58.80%,13.61%,2489805,5.35,6.54
OCLR,"Oclaro Inc",9.6,"100% Buy",67.03%,11.35%,1371075,5.61,10.2
ODP,"Office Depot",3.31,"88% Buy",66.65%,50.18%,5201355,2,4.65
OFG,"Oriental Financial Group",16.4,"16% Buy",52.67%,35.09%,405660,7.8,17.75
OFIX,"Orthofix Intl Nv",53.03,"64% Sell",39.60%,63.63%,202335,47.16,61.98
OIS,"Oil States International",34.45,"48% Buy",57.04%,32.09%,423110,20.23,38.95
OMCL,"Omnicell Inc",67.25,"96% Buy",69.55%,20.04%,349020,39.75,68.8
OMI,"Owens & Minor",16.96,"32% Buy",52.69%,79.60%,1305260,14.07,29.85
ONB,"Old National Bncp",19.9,"56% Buy",56.47%,14.26%,583760,15.38,20.55
OPB,"Opus Bank",27.95,"88% Sell",42.36%,12.51%,126410,21.06,30.95
ORIT,"Oritani Financial",16.13,"16% Sell",46.90%,12.56%,158230,15,17.7
ORN,"Orion Group Holdings Inc",8.58,"16% Sell",46.19%,36.01%,243235,5.46,9.83
