Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
HSKA,"Heska Corp",739950000,64.68,1.55,9950000,0.76,N/A,0.00%
HSTM,"Healthstream Inc",1003213000,91.76,0.34,10000000,0.56,N/A,0.00%
HT,"Hersha Hospitality Trust",912828000,11.25,-0.43,99870000,1.33,1.12,4.83%
HTLD,"Heartland Express",1667276000,37.89,0.54,75170000,0.64,0.08,0.39%
HUBG,"Hub Group Inc A",1779165000,22.31,2.34,135150000,1.45,N/A,0.00%
HVT,"Haverty Furniture Companies",461340000,17.46,1.26,21080000,0.83,0.69,3.14%
HWKN,"Hawkins Inc",439110000,24.12,1.71,-9180000,0.71,1.105,2.70%
HZO,"Marinemax Inc",585683000,14.3,1.49,23550000,1.12,N/A,0.00%
IBP,"Installed Building Products I",1503056000,30.44,1.59,41140000,0.86,N/A,0.00%
IIIN,"Insteel Industries",745837000,28.71,1.38,22550000,2.22,1.12,2.87%
IIVI,"I I V I Inc",3120746000,31.76,1.53,88000000,0.02,N/A,0.00%
INDB,"Independent Bk Corp",2479977000,23.1,3.9,87200000,0.95,1.4,1.55%
INGN,"Inogen Inc",5383616000,140.63,1.77,21000000,1.1,N/A,0.00%
INN,"Summit Hotel Properties",1438080000,10.01,0.53,99210000,1.21,0.71,5.17%
INTL,"Intl Fcstone Inc",1062742000,29.37,1.91,6400000,1.71,N/A,0.00%
INVA,"Innoviva Inc",1460099000,9.28,1.53,134140000,2.25,N/A,0.00%
IOSP,"Innospec Inc",1881561000,17.47,4.49,61800000,1.06,0.83,1.08%
IPAR,"Inter Parfums Inc",2042064000,42.65,1.55,41590000,1.54,0.8,1.23%
IPHS,"Innophos Hldngs Inc",854408000,18.03,2.46,22450000,0.74,1.92,4.41%
IRBT,"Irobot Corp",3226431000,51.74,2.17,50960000,1.32,N/A,0.00%
IRDM,"Iridium Comm Inc",2170700000,48.88,0.4,233860000,1.92,N/A,0.00%
IRT,"Independence Realty Trust Inc",906404000,13.92,0.18,30210000,0.84,0.66,6.38%
ITG,"Investment Technology Group",721161000,39.2,0.56,-39440000,1.45,0.28,1.28%
ITGR,"Integer Holdings Corp",2487177000,22.48,3.45,66680000,0.86,N/A,0.00%
ITRI,"Itron Inc",2585940000,27.25,2.42,57300000,0.97,N/A,0.00%
IVC,"Invacare Corp",505248000,0,-1.59,-76540000,2.38,0.05,0.33%
IVR,"Invesco Mortgage Capital Inc",1802986000,9.14,1.77,348610000,0.65,1.67,10.34%
JBSS,"John B Sanfilippo",788825000,25.16,2.83,32420000,1.08,2.55,3.67%
JBT,"John Bean Technologies Corp",3654540000,32.87,3.5,80500000,1.25,0.4,0.35%
JCP,"J.C. Penney Company Inc",556293000,0,-0.36,-116000000,0.87,N/A,0.00%
JJSF,"J J Snack Foods",2661797000,33.24,4.31,79170000,0.58,1.77,1.24%
JRVR,"James River Gp HD",1214859000,25.31,1.62,43570000,0.48,1.7,4.19%
KALU,"Kaiser Aluminum",1824311000,20.37,5.4,45400000,0.65,2.15,1.96%
