Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
FTK,"Flotek Industries",3.08,-34.80,-33.91%,-4.64%,-13.73%,-63.33%
FTR,"Frontier Commun Cp",4.91,-69.60,-27.37%,-8.40%,-40.84%,-68.59%
FUL,"H. B. Fuller Company",56.05,+10.50,+4.05%,+4.42%,+13.30%,+8.58%
FWRD,"Foward Air Corp",62.12,+20.50,+8.15%,+5.15%,+15.06%,+21.92%
GBCI,"Glacier Bancorp Inc",43.12,+24.60,+9.47%,+11.48%,+16.45%,+25.75%
GBX,"Greenbrier Companies",55.95,+26.30,+4.97%,+6.07%,+27.59%,+25.17%
GCI,"Gannett Co. Inc",10.53,+13.80,-9.15%,-1.59%,+8.89%,+14.21%
GCO,"Genesco Inc",39.95,+30.20,+22.92%,+0.63%,-6.55%,+24.26%
GDOT,"Green Dot Corp",78.54,+85.70,+30.34%,+7.02%,+29.16%,+94.89%
GEOS,"Geospace Technologie",13.9,-4.40,+7.17%,-1.14%,+31.88%,-9.15%
GES,"Guess Inc",22.37,+41.80,+32.52%,+4.53%,-3.95%,+70.50%
GFF,"Griffon Corp",17.3,-15.80,-14.99%,-2.81%,-13.07%,-14.78%
GHL,"Greenhill & Co. Inc",32,+102.50,+64.10%,+12.68%,+57.64%,+71.12%
GIFI,"Gulf Island Fab",9.2,-14.80,-31.47%,+2.22%,-8.00%,-18.94%
GIII,"G-III Apparel Gp I",44.81,+66.00,+21.47%,+0.92%,+22.80%,+72.55%
GLT,Glatfelter,20.26,+14.50,-5.50%,+3.42%,-3.02%,-0.64%
GME,"Gamestop Corp",14.7,-28.70,-18.11%,+0.89%,+7.69%,-31.63%
GNBC,"Green Bancorp",24.1,+9.90,+18.72%,+11.57%,+6.87%,+8.07%
GNL,"Global Net Lease Inc",20.74,+1.70,+0.78%,+1.52%,+11.45%,-5.94%
GOV,"Government Properties Income Trust",15.05,-16.50,-18.82%,-5.05%,+20.50%,-16.71%
GPI,"Group 1 Automotive",70.79,+14.90,-0.25%,+12.37%,+8.32%,+15.95%
GPRE,"Green Plains Inc",16.15,-18.00,-4.15%,-11.75%,-13.17%,-18.43%
GTLS,"Chart Industries In",75.89,+119.10,+61.95%,+23.04%,+33.75%,+116.77%
GTY,"Getty Realty Corp",28.35,+9.90,+4.38%,+0.64%,+13.17%,+10.05%
GWB,"Great Western Bancorp Inc",42.03,+5.70,+5.60%,+0.10%,+2.16%,+10.58%
HA,"Hawaiian Hldgs Inc",39.8,-1.40,-0.13%,+10.71%,-3.40%,-5.13%
HAFC,"Hanmi Financial Cp",25.15,-19.20,-17.13%,-11.29%,-8.88%,-12.22%
HAYN,"Haynes Intl Inc",42.26,+31.20,+31.86%,+15.02%,+1.08%,+37.70%
HCI,"Homeowners Choice",42.89,+7.20,+43.44%,+3.18%,+2.39%,-4.16%
HF,"HFF Inc",43.98,+23.70,-9.58%,+28.03%,+25.16%,+18.93%
HI,"Hillenbrand Inc",48.85,+30.10,+9.28%,+3.61%,+5.39%,+35.88%
HIBB,"Hibbett Sports Inc",23.65,+48.00,+15.93%,+3.28%,-13.05%,+55.08%
HLIT,"Harmonic Inc",4.72,+21.70,+12.38%,+11.06%,+29.32%,+18.00%
HLX,"Helix Energy Solutions Group",10.27,+76.50,+36.21%,+23.29%,+33.03%,+59.97%
HMN,"Horace Mann Educators Corp",43.25,+12.10,-1.93%,-3.03%,-3.24%,+17.05%
HMST,"Homestreet Inc",29.15,+10.50,+0.69%,+8.16%,+14.31%,+9.59%
HMSY,"Hms Hldgs Cp",23.67,+36.90,+39.65%,+9.48%,+31.43%,+17.47%
HOPE,"Hope Bancorp Inc",16.92,-7.30,-7.29%,-5.10%,-2.14%,-2.65%
HPR,"Highpoint Resources Corp.",6.72,+54.40,+30.99%,+10.53%,-2.75%,+88.24%
HQY,Healthequity,74.12,+60.60,+58.85%,-1.30%,+12.87%,+56.83%
HSC,"Harsco Corp",24.65,+46.40,+32.17%,+11.54%,+20.54%,+58.52%
HSII,"Heidrick & Struggl",34.2,+74.00,+39.31%,-2.29%,-9.16%,+85.37%
HSKA,"Heska Corp",97.59,+6.60,+21.67%,-5.97%,+19.57%,-8.62%
HSTM,"Healthstream Inc",27.55,+20.00,+18.96%,+0.88%,+18.80%,+21.21%
HT,"Hersha Hospitality Trust",21.24,+18.90,+22.07%,-0.98%,+13.10%,+13.64%
HTLD,"Heartland Express",19.12,-11.20,-18.08%,+3.07%,+7.24%,-9.13%
HUBG,"Hub Group Inc A",45.8,+22.80,-4.38%,-8.03%,+4.21%,+34.90%
HVT,"Haverty Furniture Companies",19.95,-17.00,-11.92%,-7.64%,+9.92%,-13.07%
HWKN,"Hawkins Inc",37.25,-7.90,+5.82%,+5.37%,+14.62%,-17.22%
HZO,"Marinemax Inc",18.4,-10.60,-2.65%,-2.90%,-14.81%,+23.91%
IBP,"Installed Building Products I",53.65,-15.90,-29.36%,-5.13%,-7.02%,+1.42%
IIIN,"Insteel Industries",40.43,+55.70,+42.76%,+21.05%,+34.63%,+52.85%
IIVI,"I I V I Inc",42.2,+11.20,-10.12%,-2.88%,+10.76%,+11.64%
INDB,"Independent Bk Corp",88.6,+31.30,+26.84%,+13.01%,+22.54%,+24.26%
INGN,"Inogen Inc",194.92,+116.90,+63.69%,+4.61%,+38.65%,+107.43%
