Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
ANGO,"Angiodynamics Inc",22.27,"40% Buy",55.87%,15.03%,141650,15.16,23.95
ANIK,"Anika Therapeutics",41.46,"40% Buy",56.72%,19.13%,90690,28.54,69.81
ANIP,"ANI Pharma Inc",57.22,"48% Sell",32.64%,53.58%,128850,45.57,74.7
APEI,"American Pub. Edu.",35.95,"72% Sell",35.39%,85.45%,130560,17.7,46.15
APOG,"Apogee Entrpr Inc",49.53,"56% Buy",53.89%,18.16%,118700,37.24,51.33
ARCB,"Arcbest Corp",47.65,"80% Buy",54.33%,33.53%,253865,25.86,50.45
ARI,"Apollo Commercial Real Estate",19.35,"88% Buy",61.16%,8.31%,859130,17.56,19.5
AROC,"Archrock Inc",12.75,"40% Buy",51.25%,35.78%,652210,8.25,13.75
ARR,"Armour Residential R",23.74,"40% Buy",56.53%,8.61%,427575,21.4,27.55
ASGN,"On Assignment",91.68,"80% Buy",59.03%,17.38%,264130,44.66,94.25
ASIX,"Advansix Inc",33.95,"72% Sell",41.64%,42.79%,216270,30.56,46.51
ASNA,"Ascena Retail Grp",4.54,"48% Buy",58.28%,50.80%,1690730,1.69,5.28
ASTE,"Astec Inds Inc",49.08,"8% Sell",44.57%,28.27%,175770,44.92,64.8
ATNI,"Atn International",73.46,"64% Buy",68.19%,27.63%,54170,49.34,75.94
ATU,"Actuant Corp",29.25,"80% Buy",58.62%,14.11%,253755,21.5,30.05
AVA,"Avista Corp",51.41,"8% Buy",52.71%,5.25%,391135,47.5,52.91
AVAV,"Aerovironment Inc",85.7,"72% Buy",71.79%,16.71%,200240,38.71,87.53
AVD,"American Vanguard Corp",21.4,"8% Sell",53.87%,32.68%,85160,18.01,24
AVP,"Avon Products",2.09,"64% Buy",69.33%,53.25%,7759570,1.38,2.99
AWR,"American States Water Company",59.32,Hold,48.23%,16.92%,153120,47.53,61.66
AXE,"Anixter International Inc",72.1,"72% Buy",55.31%,20.77%,154890,56.25,88.85
AXL,"American Axle & Manufacturing",18.35,"96% Buy",60.70%,38.04%,1767050,13.38,20.27
AZZ,"Azz Inc",54.2,"72% Buy",58.52%,13.16%,94240,39.5,56.05
B,"Barnes Group",68.06,"80% Buy",60.89%,20.10%,169450,52.42,72.87
BABY,"Natus Medical Inc",36.9,"80% Buy",56.46%,27.26%,166860,28,43.6
BANC,"First Pactrust Bancorp",19.9,"32% Buy",51.68%,11.92%,301830,17.1,23.4
BANR,"Banner Corp",64.55,"8% Buy",53.16%,15.61%,144310,52.2,67.11
BCC,"Boise Cascade L.L.C.",44.4,"16% Sell",48.52%,22.65%,400815,28.6,49.3
BCOR,"Blucora Inc",35.95,"32% Buy",50.37%,32.58%,370840,19.05,40.6
BCPC,"Balchem Cp",104.94,"96% Buy",59.00%,27.96%,89980,70.23,107.72
BEAT,"Biotelemetry Inc",59.3,"96% Buy",66.06%,32.90%,329395,23.3,60
BEL,"Belmond Ltd",16.5,"96% Buy",79.41%,104.39%,909380,10.3,16.55
BELFB,"Bel Fuse Inc Cl B",28,"96% Buy",69.96%,50.18%,20600,17.1,33.45
BFS,"Saul Centers",59.67,"96% Buy",68.52%,17.52%,33475,46.71,65.43
BGFV,"Big 5 Sporting",5.7,"56% Sell",38.02%,46.68%,339710,5.05,9.75
BGG,"Briggs & Stratton Corp",20.45,"72% Buy",64.35%,40.20%,448015,16.26,27.34
BGS,"B&G Foods Holdings",30.6,"8% Buy",47.44%,23.95%,616850,22,39.75
BHE,"Benchmark Electronics",26.3,"16% Sell",47.45%,13.30%,345395,23.98,35.8
BHLB,"Berkshire Hills Bancorp",41.85,"48% Buy",53.06%,15.77%,175520,33.15,44.25
BJRI,"Bj's Restaurants Inc",72.75,"96% Buy",69.02%,30.06%,327730,28,75.18
BKE,"Buckle Inc",26,"48% Buy",51.41%,40.46%,513925,14.05,29.65
BKS,"Barnes & Noble",5.3,"48% Sell",37.31%,32.90%,733110,4.1,8
BLD,"Topbuild Corp",66.93,"100% Sell",35.89%,49.96%,390365,55.25,87.21
BMI,"Badger Meter",55.15,"96% Buy",66.73%,17.95%,99520,41,55.45
BNED,"Barnes & Noble Education Inc C",5.37,"64% Sell",42.75%,72.41%,396305,4.93,9.1
BOFI,"Bofi Holding Inc",37.47,"88% Sell",42.07%,44.91%,608165,24.2,45.18
BPFH,"Boston Pvt Finl Hldg",14.25,"16% Sell",40.78%,17.33%,461135,13.77,17.85
BRC,"Brady Corp",38.95,"24% Buy",54.78%,16.56%,254145,32.7,40.9
BRKL,"Brookline Bancorp",17.95,"24% Sell",44.07%,13.04%,273570,13.63,19.35
BRKS,"Brooks Automation",39.6,"64% Buy",75.10%,97.71%,933125,21.75,39.75
BRS,"Bristow Group Inc",10.74,"64% Sell",34.54%,50.66%,704920,8.04,18.91
CACI,"Caci International",193.85,"96% Buy",67.95%,22.15%,140090,121.6,196.3
CAL,"Caleres Inc",38.26,"96% Buy",61.70%,29.00%,246560,24.37,39.13
CALM,"Cal-Maine Foods In",48.8,"16% Buy",54.99%,20.51%,345225,35.2,52.3
CAMP,"Calamp Corp",23.52,"40% Buy",55.45%,10.54%,279630,18.16,25.45
CASH,"Meta Financial Grp",85.05,"96% Sell",31.90%,19.04%,56530,64,117.97
CATM,"Cardtronics Inc",36.58,"88% Buy",67.17%,92.23%,680005,15.8,39.1
CATO,"Cato Corp",21.35,"64% Sell",39.94%,70.57%,365305,10.76,26.88
CBB,"Cincinnati Bell Inc",13.1,"16% Sell",49.19%,125.31%,548340,9.9,22.2
CBL,"Cbl & Associates Properties",4.45,"72% Sell",40.39%,64.90%,3621335,3.8,9.1
CBM,"Cambrex Corp",65.45,"96% Buy",65.60%,32.65%,332125,42.55,67.75
CBU,"Community Bank System",65.67,"80% Buy",60.15%,13.81%,124085,48.89,67.07
CCMP,"Cabot Microelectron",113.26,"32% Buy",46.84%,39.35%,234875,69.09,123.76
CCOI,"Cogent Comm Hldgs",54.45,"64% Buy",60.07%,18.79%,212155,35.75,57.65
CCRN,"Cross Ctry Hlthcr",10.17,"16% Sell",46.46%,138.09%,412675,7.41,14.65
CDR,"Cedar Shopping Centers Inc",4.51,"24% Sell",46.27%,21.66%,262965,3.54,6.29
CECO,"Career Education",16.12,"40% Sell",39.61%,28.67%,366020,9,19.07
CEIX,"Consol Energy Inc",41.19,Hold,47.12%,46.90%,306810,19.51,48.12
CENT,"Central Garden",39.21,"72% Sell",38.15%,21.73%,210625,34.58,45.02
CENTA,"Central Garden & Pet",36.13,"64% Sell",36.09%,21.66%,610260,32.57,41.97
CENX,"Century Aluminum C",12.73,"16% Sell",46.07%,61.67%,1932985,11.04,24.77
CEVA,"Ceva Inc",30.3,"32% Sell",49.45%,69.91%,175595,26.1,51.8
CHCO,"City Holding Co",80.79,"32% Buy",53.32%,11.96%,35825,60.37,83.27
CHCT,"Community Healthcare Trust Inc",31.04,"16% Buy",55.29%,14.96%,155780,22.41,32.81
CHS,"Chico's Fas",8.83,"48% Sell",43.59%,41.40%,2705790,6.96,10.9
CHSP,"Chesapeake Lodging Trust",32.64,"56% Buy",54.91%,17.54%,178565,24.89,33.09
